name,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby,housing_nearby,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing,lat,lon
w_28th_rio_grande,7,3299.714285714286,0,-0.5374980526915426,0.8861376066933987,0.5095441300568907,-0.4961445304721935,1.7929620189917326,-0.48357192630342566,2.0,-0.10374160381153133,0.06743315638178986,0.0,2.0808438645083736,3.0,-0.4241784932703301,0.8407417167112748,-0.6969077542760826,0.3500645675119498,-0.643016524421848,1.5109818721295016,0.05802457583804288,-0.7016910253204465,-0.7393691004272943,0.4778199964543829,1,-1.3922134985344348,-1.3195346020005112,-0.1585944018483392,0.37133925683157254,0.37133925683157254,1.8088964329300994,0.6064765497944392,3.1845950616748424,30.29333,-97.74412
w_22_5_rio_grande,5,2588.4,0,-0.9823240273328191,0.4930776817563342,0.7846264803809896,-0.4740291378924168,1.1324882930408904,-0.46253997407786585,2.0,3.502173452809972,-0.7181381929689817,0.0,1.4651028041844916,3.0,-0.4241784932703301,-0.73870378020068,-0.387648226954801,-0.7729849808870808,-0.643016524421848,-0.1127371311117656,-0.9439454923561778,1.0206414913751949,0.3426344611736244,-0.7901583559209616,1,-1.2410268274953193,-1.2815341568108518,0.8568702981896665,-0.3092243265979277,-0.3092243265979277,2.5936771966058245,0.09872874066421101,2.573404528223811,30.2862,-97.74516
e_21st_speedway_pcl,17,2579.470588235294,0,-0.9823240273328191,0.7721341613521207,0.8458839917552019,-0.603265963280487,-0.6141484369326479,-0.5255510081454853,2.0,-0.10374160381153133,-0.6238029811689869,0.0,1.305737993645126,3.0,-0.536667817452517,-0.7569846078347028,-0.6195928724457622,-0.2847695299237063,0.6082588744530996,-0.8482219627404606,-0.7592615268365522,-0.7016910253204465,0.12623374885344063,-0.2616360019078559,1,-1.768484684476474,-1.6161779110008938,1.4267739563742616,5.597095343879521,5.597095343879521,-0.14425450705167683,0.09872874066421101,0.9570982426091335,30.283,-97.7375
w_26th_nueces,13,2532.3076923076924,0,0.7969798712322871,-0.08154058086068995,-0.397328362671257,-0.5241343242059734,1.5291144477102485,-0.4928926335891855,2.0,1.1840852021247201,-1.225958993446671,0.0,1.874811694290016,3.0,-0.19919984490595613,-0.09275118601917286,-0.3103333451244806,-0.36624144587311486,-0.643016524421848,0.7600840375546376,-0.35108864852756333,-0.12758018642189942,0.12623374885344063,-0.2750754415633561,1,-1.572973525078451,-1.557942156940399,-0.1585944018483392,2.2046942162743077,2.2046942162743077,0.8706061015254513,2.1297199771851236,2.9404352540925927,30.29068,-97.74292
w_23rd_san_gabriel,11,2505.454545454545,0,-0.9823240273328191,0.45853339626855416,0.5992398838507503,-0.5011550491035491,1.3137054154329249,-0.47932992501723154,2.0,1.4416505633119703,-0.1021395137423854,0.0,1.5282583161789365,3.0,-0.7054018037257974,-0.4500828315945556,-0.6195928724457622,-0.1708012543044959,0.6082588744530996,0.18532273207758135,-0.3789228918034335,-0.12758018642189942,-0.30656767578692684,-0.24750000592874716,1,-1.1261172798075278,-1.1131387599584885,-0.1585944018483392,-0.3092243265979277,-0.3092243265979277,3.190150430444843,0.09872874066421101,2.7410996012500646,30.2874,-97.7478
w_21st_guadalupe,11,1966.0,0,0.7969798712322871,-0.46488720776419273,-0.8129110025713412,-0.32475023797892394,0.1694161646052364,-0.325107174164526,2.0,2.471912008060971,-1.378484675568945,0.0,1.3212731183596438,3.0,0.30700211391388516,-0.6618882828025444,0.23087082768776232,-0.7028072183774139,0.6082588744530996,-0.665210163589883,-0.8502870251171009,0.4465306524766477,0.5590351734938082,-0.7395555877058917,1,-1.4051589505475175,-1.6101030098991456,0.8568702981896665,0.8250483124512393,0.8250483124512393,1.7416990957102993,2.1297199771851236,1.6821948633987522,30.28395,-97.74198
dean_keeton_speedway,23,1449.6521739130435,0,2.576283769797393,-0.8542955168991664,-0.7816289359097296,-0.6074125993891951,0.07937746857397407,-0.5305473585409987,2.0,-1.1340030485605324,2.1260171736640125,0.0,1.8638557509749363,3.0,-0.8178911279079845,1.464991456411011,-0.6969077542760826,0.590886721083894,-0.643016524421848,0.20028489764324073,0.18283984241970438,-0.12758018642189942,0.3426344611736244,-0.054471956486485104,1,-1.580480607629695,-1.4620793558667116,-0.9823642350424356,1.5241306328448077,1.5241306328448077,0.8316382881788783,4.160711213706036,1.5988746698825633,30.28953,-97.73695
w_21st_university,19,1332.3157894736842,0,-0.09267207805026602,-0.9425915869937244,-0.6702586297852202,-0.5205060176108538,-0.08189437305164138,-0.4595330632625497,2.0,-0.10374160381153133,0.10498779912282047,0.0,1.3220014483960985,3.0,-0.48042315536142355,0.6570329069900599,-0.4649631087851214,0.02315016249252086,0.6082588744530996,-0.9091131864455257,-0.7592615268365522,0.4465306524766477,0.3426344611736244,-0.8367047078985479,1,-1.6026108614005496,-1.5229073549599854,0.8568702981896665,4.387590335913828,4.387590335913828,0.7167644217509603,1.1142243589246674,1.4496366017491364,30.28354,-97.73953
guadalupe_west_mall_university_co_op,15,1244.9333333333334,0,0.7969798712322871,-0.8404924091672628,-1.121965523569721,-0.4864690462185412,0.3181509726062457,-0.44806919832193903,2.0,1.6992159244992207,-0.31426556745025425,0.0,1.4683957857324872,3.0,0.19451278973169822,-0.9103454426166777,-0.3103333451244806,-0.7043986672711957,0.6082588744530996,-0.3088513916334007,-0.8502870251171009,0.4465306524766477,0.5590351734938082,-0.7152580641823804,1,-1.3601377821791196,-1.4696765726109782,0.8568702981896665,1.6167243176651478,1.6167243176651478,1.9753952717745469,2.1297199771851236,1.8198313855995454,30.285664,-97.741792
dean_keeton_whitis,19,1218.5263157894738,0,0.7969798712322871,-0.2948679760188404,-0.7023861577079565,-0.5132494044206145,1.2652668764287647,-0.4845361023881473,2.0,-0.6188723261860319,0.9090160377388083,0.0,1.8367835685545164,3.0,-0.030465858632675702,0.020625966647008314,-0.07838869963351934,-0.367370861217089,-0.643016524421848,0.5434566762198201,-0.35108864852756333,-0.12758018642189942,0.7754358858139918,-0.34911528137277403,1,-1.7397928424529696,-1.6459779577766096,0.6496326043043592,2.2046942162743077,2.2046942162743077,0.004679294716096017,2.1297199771851236,2.696275446510343,30.2898,-97.74041
